Copyright 1986-2021 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2021.1 (lin64) Build 3247384 Thu Jun 10 19:36:07 MDT 2021
| Date         : Sat Dec 11 20:30:05 2021
| Host         : iabilheira running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_timing -sort_by group -max_paths 100 -path_type summary -file timing.log -verbose
| Design       : main
| Device       : 7a15t-cpg236
| Speed File   : -1  PRODUCTION 1.23 2018-06-13
----------------------------------------------------------------------------------------------------------

Timing Report

Startpoint                     Endpoint                       Slack(ns)     
----------------------------------------------------------------------------
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[12]/R    78.757        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[13]/R    78.757        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[10]/R    78.895        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[11]/R    78.895        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[8]/R     78.895        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[9]/R     78.895        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[0]/R     78.936        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[1]/R     78.936        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[2]/R     78.936        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[3]/R     78.936        
PULSE_GEN/counter_reg[2]/C     PWM/counter_reg[2]/CE          78.998        
PULSE_GEN/counter_reg[2]/C     PWM/counter_reg[3]/CE          78.998        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[4]/R     79.042        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[5]/R     79.042        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[6]/R     79.042        
PULSE_GEN/counter_reg[2]/C     PULSE_GEN/counter_reg[7]/R     79.042        
PULSE_GEN/counter_reg[2]/C     PWM/counter_reg[0]/CE          79.224        
PULSE_GEN/counter_reg[2]/C     PWM/counter_reg[1]/CE          79.224        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[13]/D    81.150        
PWM/counter_reg[2]/C           PWM/counter_reg[2]/D           81.161        
PWM/counter_reg[2]/C           PWM/counter_reg[3]/D           81.179        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[12]/D    81.261        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[9]/D     81.263        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[11]/D    81.284        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[10]/D    81.358        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[8]/D     81.374        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[5]/D     81.376        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[7]/D     81.397        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[6]/D     81.471        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[4]/D     81.487        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[3]/D     81.645        
PULSE_GEN/counter_reg[1]/C     PULSE_GEN/counter_reg[2]/D     81.705        
PULSE_GEN/counter_reg[0]/C     PULSE_GEN/counter_reg[1]/D     81.848        
PULSE_GEN/counter_reg[0]/C     PULSE_GEN/counter_reg[0]/D     82.025        
PWM/counter_reg[0]/C           PWM/counter_reg[1]/D           82.035        
PWM/counter_reg[0]/C           PWM/counter_reg[0]/D           82.047        



